dag_family,dag_label,ccr,alpha,beta,seed,scheduler,scheduler_label,native_makespan,replayed_makespan,speedup_vs_heft_replayed,replay_overhead_ratio,original_task_count,total_task_instances,duplicate_instance_count,task_instance_ratio,remote_communication_volume,total_communication_volume,remote_communication_volume_ratio
fork_join,Fork-join,0.1,0.0,1.0,0,heft,HEFT,71.3238,72.3325,1.0,1.014142,14,14,0,1.0,6.9429,17.822,0.389566
fork_join,Fork-join,0.1,0.0,1.0,0,cdls,CD-LS,70.0481,70.0481,1.032611,1.0,14,17,3,1.214286,3.3803,17.822,0.189672
fork_join,Fork-join,0.1,0.0,1.0,0,cad,CA-D,70.0481,70.0481,1.032611,1.0,14,17,3,1.214286,3.3803,17.822,0.189672
fork_join,Fork-join,1.0,0.0,1.0,0,heft,HEFT,86.8267,99.6389,1.0,1.14756,14,14,0,1.0,63.7507,178.2203,0.357707
fork_join,Fork-join,1.0,0.0,1.0,0,cdls,CD-LS,82.8053,95.6174,1.042058,1.154726,14,17,3,1.214286,27.9149,178.2203,0.156632
fork_join,Fork-join,1.0,0.0,1.0,0,cad,CA-D,82.8053,82.8053,1.203292,1.0,14,18,4,1.285714,15.1028,178.2203,0.084742
fork_join,Fork-join,5.0,0.0,1.0,0,heft,HEFT,157.9556,157.9556,1.0,1.0,14,14,0,1.0,87.9074,891.1015,0.09865
fork_join,Fork-join,5.0,0.0,1.0,0,cdls,CD-LS,124.2588,154.8356,1.02015,1.246073,14,18,4,1.285714,75.7891,891.1015,0.085051
fork_join,Fork-join,5.0,0.0,1.0,0,cad,CA-D,117.7038,117.7038,1.341975,1.0,14,20,6,1.428571,11.7284,891.1015,0.013162
fork_join,Fork-join,10.0,0.0,1.0,0,heft,HEFT,178.2203,178.2203,1.0,1.0,14,14,0,1.0,0.0,1782.2031,0.0
fork_join,Fork-join,10.0,0.0,1.0,0,cdls,CD-LS,188.3195,260.5162,0.684105,1.383373,14,18,4,1.285714,151.5782,1782.2031,0.085051
fork_join,Fork-join,10.0,0.0,1.0,0,cad,CA-D,141.8297,141.8297,1.256579,1.0,14,22,8,1.571429,23.4569,1782.2031,0.013162
