dag_family,dag_label,ccr,alpha,beta,seed,scheduler,scheduler_label,native_makespan,replayed_makespan,speedup_vs_heft_replayed,replay_overhead_ratio,original_task_count,total_task_instances,duplicate_instance_count,task_instance_ratio
chain,Chain,0.1,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,0.1,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,0.1,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,1.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,1.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,1.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,5.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,5.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,5.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,10.0,0.0,1.0,0,heft,HEFT,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,10.0,0.0,1.0,0,cdls,CD-LS,132.5766,132.5766,1.0,1.0,10,10,0,1.0
chain,Chain,10.0,0.0,1.0,0,cad,CA-D,132.5766,132.5766,1.0,1.0,10,10,0,1.0
fork,Fork,0.1,0.0,1.0,0,heft,HEFT,33.8277,38.4715,1.0,1.137279,9,9,0,1.0
fork,Fork,0.1,0.0,1.0,0,cdls,CD-LS,33.2458,33.2458,1.157186,1.0,9,16,7,1.777778
fork,Fork,0.1,0.0,1.0,0,cad,CA-D,33.2458,33.2458,1.157186,1.0,9,16,7,1.777778
fork,Fork,1.0,0.0,1.0,0,heft,HEFT,50.4448,93.4585,1.0,1.852687,9,9,0,1.0
fork,Fork,1.0,0.0,1.0,0,cdls,CD-LS,33.2458,33.2458,2.811139,1.0,9,16,7,1.777778
fork,Fork,1.0,0.0,1.0,0,cad,CA-D,33.2458,33.2458,2.811139,1.0,9,16,7,1.777778
fork,Fork,5.0,0.0,1.0,0,heft,HEFT,92.3601,92.3601,1.0,1.0,9,9,0,1.0
fork,Fork,5.0,0.0,1.0,0,cdls,CD-LS,33.2458,33.2458,2.778103,1.0,9,16,7,1.777778
fork,Fork,5.0,0.0,1.0,0,cad,CA-D,33.2458,33.2458,2.778103,1.0,9,16,7,1.777778
fork,Fork,10.0,0.0,1.0,0,heft,HEFT,108.3026,108.3026,1.0,1.0,9,9,0,1.0
fork,Fork,10.0,0.0,1.0,0,cdls,CD-LS,33.2458,33.2458,3.257636,1.0,9,16,7,1.777778
fork,Fork,10.0,0.0,1.0,0,cad,CA-D,33.2458,33.2458,3.257636,1.0,9,16,7,1.777778
out_tree,Out-tree,0.1,0.0,1.0,0,heft,HEFT,40.8003,40.8003,1.0,1.0,7,7,0,1.0
out_tree,Out-tree,0.1,0.0,1.0,0,cdls,CD-LS,40.8003,40.8003,1.0,1.0,7,10,3,1.428571
out_tree,Out-tree,0.1,0.0,1.0,0,cad,CA-D,40.8003,40.8003,1.0,1.0,7,12,5,1.714286
out_tree,Out-tree,1.0,0.0,1.0,0,heft,HEFT,61.2888,92.2914,1.0,1.505844,7,7,0,1.0
out_tree,Out-tree,1.0,0.0,1.0,0,cdls,CD-LS,46.419,56.5994,1.630609,1.219315,7,10,3,1.428571
out_tree,Out-tree,1.0,0.0,1.0,0,cad,CA-D,40.8003,40.8003,2.262029,1.0,7,12,5,1.714286
out_tree,Out-tree,5.0,0.0,1.0,0,heft,HEFT,84.4537,84.4537,1.0,1.0,7,7,0,1.0
out_tree,Out-tree,5.0,0.0,1.0,0,cdls,CD-LS,52.9599,52.9599,1.594672,1.0,7,8,1,1.142857
out_tree,Out-tree,5.0,0.0,1.0,0,cad,CA-D,40.8003,40.8003,2.069929,1.0,7,12,5,1.714286
out_tree,Out-tree,10.0,0.0,1.0,0,heft,HEFT,84.4537,84.4537,1.0,1.0,7,7,0,1.0
out_tree,Out-tree,10.0,0.0,1.0,0,cdls,CD-LS,52.9599,52.9599,1.594672,1.0,7,8,1,1.142857
out_tree,Out-tree,10.0,0.0,1.0,0,cad,CA-D,40.8003,40.8003,2.069929,1.0,7,12,5,1.714286
fork_join,Fork-join,0.1,0.0,1.0,0,heft,HEFT,71.3238,72.3325,1.0,1.014142,14,14,0,1.0
fork_join,Fork-join,0.1,0.0,1.0,0,cdls,CD-LS,70.0481,70.0481,1.032611,1.0,14,17,3,1.214286
fork_join,Fork-join,0.1,0.0,1.0,0,cad,CA-D,70.0481,70.0481,1.032611,1.0,14,17,3,1.214286
fork_join,Fork-join,1.0,0.0,1.0,0,heft,HEFT,86.8267,99.6389,1.0,1.14756,14,14,0,1.0
fork_join,Fork-join,1.0,0.0,1.0,0,cdls,CD-LS,82.8053,95.6174,1.042058,1.154726,14,17,3,1.214286
fork_join,Fork-join,1.0,0.0,1.0,0,cad,CA-D,82.8053,82.8053,1.203292,1.0,14,18,4,1.285714
fork_join,Fork-join,5.0,0.0,1.0,0,heft,HEFT,157.9556,157.9556,1.0,1.0,14,14,0,1.0
fork_join,Fork-join,5.0,0.0,1.0,0,cdls,CD-LS,124.2588,154.8356,1.02015,1.246073,14,18,4,1.285714
fork_join,Fork-join,5.0,0.0,1.0,0,cad,CA-D,117.7038,117.7038,1.341975,1.0,14,20,6,1.428571
fork_join,Fork-join,10.0,0.0,1.0,0,heft,HEFT,178.2203,178.2203,1.0,1.0,14,14,0,1.0
fork_join,Fork-join,10.0,0.0,1.0,0,cdls,CD-LS,188.3195,260.5162,0.684105,1.383373,14,18,4,1.285714
fork_join,Fork-join,10.0,0.0,1.0,0,cad,CA-D,141.8297,141.8297,1.256579,1.0,14,22,8,1.571429
